date,open,high,low,close,volume,dividend,split
2018-03-16,27.5,33.47,26.06,33.0,16931900,0,1
2018-03-19,31.45,31.5,26.75,27.9,5892100,0,1
2018-03-20,28.41,30.904,28.07,30.38,3262000,0,1
2018-03-21,30.79,34.83,29.29,31.08,4460900,0,1
2018-03-22,30.0,31.88,28.56,29.83,3239500,0,1
2018-03-23,30.31,30.45,28.6,29.43,1247100,0,1
2018-03-26,30.63,30.938,27.3,27.83,1916700,0,1
2018-03-27,28.0,28.599,26.6,27.75,1719500,0,1
2018-03-28,27.35,28.19,27.0,27.53,824700,0,1
2018-03-29,27.75,28.455,26.8,28.07,1137600,0,1
2018-04-02,27.9,28.66,26.807,27.06,786700,0,1
2018-04-03,27.13,27.19,26.5,26.8,787500,0,1
2018-04-04,26.35,28.95,26.32,27.97,1023800,0,1
2018-04-05,28.61,29.15,27.97,28.53,1210400,0,1
2018-04-06,28.32,29.663,28.05,28.22,737300,0,1
2018-04-09,28.47,28.7,26.5,26.54,934500,0,1
2018-04-10,27.06,28.5,26.84,28.07,1068400,0,1
2018-04-11,28.03,29.46,27.4,27.71,795300,0,1
2018-04-12,27.81,28.59,27.775,27.96,258900,0,1
2018-04-13,28.7,28.7,27.03,27.48,418300,0,1
2018-04-16,27.89,29.0,27.565,28.99,401000,0,1
2018-04-17,29.31,29.973,28.63,28.75,951500,0,1
2018-04-18,28.96,29.0,28.0,28.65,377700,0,1
2018-04-19,28.65,28.945,27.75,28.03,265500,0,1
2018-04-20,28.05,28.23,27.03,27.22,522500,0,1
2018-04-23,27.2,27.58,26.5,26.86,626800,0,1
2018-04-24,27.0,27.97,27.0,27.14,393200,0,1
2018-04-25,27.09,28.45,26.85,28.11,415700,0,1
2018-04-26,28.4,28.81,28.171,28.65,396000,0,1
2018-04-27,28.86,28.93,28.411,28.71,197200,0,1
2018-04-30,28.7,30.06,28.7,29.89,399100,0,1
2018-05-01,29.8,30.03,29.0,29.13,418400,0,1
2018-05-02,29.32,30.06,29.01,29.95,265300,0,1
2018-05-03,28.75,28.75,26.75,27.57,1937300,0,1
2018-05-04,27.58,27.96,27.58,27.86,651300,0,1
2018-05-07,28.0,28.35,27.51,27.65,470200,0,1
2018-05-08,27.65,27.91,27.27,27.53,266400,0,1
2018-05-09,27.49,27.87,27.334,27.85,325500,0,1
2018-05-10,27.85,28.82,27.5,28.18,380900,0,1
2018-05-11,28.25,29.46,28.01,29.32,604500,0,1
2018-05-14,29.37,30.1,28.41,28.47,564800,0,1
2018-05-15,28.42,28.76,27.25,27.41,753500,0,1
